test_case_id,human_model,case_type,human_overall,ai_overall,verdict,reason
m001-NEG-01,First Principles Thinking,NEG,3.1,4.6,ai,"Pure first-principles reasoning breached a hard SLA: it refused to act without mechanism, discarded the 85%/60% base rates as unmeasured correlation, re-derived what the runbook already encoded, and delivered a certain root cause..."
m001-POS-01,First Principles Thinking,POS,4.7,4.6,human,"The AI matched every checkable number (p = 30.2 MPa, t = 22.6 mm, mass 69 kg, ballast ≈ 47 kg) and even converted the inherited 12 mm into a scaled cross-check (22.5 mm), but framed the flotation/ballast consequence out of scope i..."
m002-NEG-01,Second-Order Consequences Thinking,NEG,2.9,4.4,ai,"The pure human baseline generated five individually plausible downstream chains (vendor-channel trust, change-window consumption, 'patched = targeted', staging-vs-production auth interaction, regulator signaling) and then deferred..."
m002-POS-01,Second-Order Consequences Thinking,POS,4.7,4.4,human,"The AI found the backfire chains (breeding arbitrage, amateur capture ceiling, lost professional removal, budget-cap-as-quota) and verified the trajectory (2,400 -> 3,596 -> ~31,700), but its classic second-order moves -- the paym..."
m003-NEG-01,"Inversion (Invert, Always Invert)",NEG,3.0,5.0,ai,"Strict inversion converted 'maximize first-year profit' into 'don't lose money': a 16-item equal-weight defensive workstream list (rent burn, staffing, supply, licensing, theft, competition, ...) with no wedge chosen among the pos..."
m003-POS-01,"Inversion (Invert, Always Invert)",POS,5.0,4.0,human,"The AI produced a competent defense-in-depth plan but generated it from a technology-first sweep (retries, idempotency, webhooks), missing the refund-cascade and multi-provider-failover categories until a late coverage check..."
m004-NEG-01,Occam's Razor + Complexity Awareness,NEG,2.7,4.6,ai,Pure Occam selected the newest salient change (the new insert) as the single cause and paid off the two killer facts as 'background drift'...
m004-POS-01,Occam's Razor + Complexity Awareness,POS,4.8,4.3,human,"AI reached the correct conclusion (loose neutral + benign side effects) and executed the right fix, but carried the paranormal hypothesis through WHY/HOW without pricing it..."
m005-NEG-01,Fermi Estimation / Back-of-the-Envelope,NEG,4.1,4.5,ai,"The pure-Fermi baseline opened with volume x liquid density (1x10^12 kg, ~6 orders high) and recovered only via a late physical insight (rainout budget)..."
m005-POS-01,Fermi Estimation / Back-of-the-Envelope,POS,4.8,4.2,human,"AI reached the same order (1.5x10^2 tuners, band 10^2-2.7x10^2) and correctly killed the 'fewer than 50' claim, but ran a full META/WHY/HOW protocol plus an abandoned per-capita alternative that fabricated four invented factors..."
m006-NEG-01,Bayesian Updating,NEG,4.9,3.4,human,"AI computed LR = 56.7 and both posteriors (5.4%, 98.3%) correctly, then stopped: it treated the prior as an unknowable subjective knob, concluded 'it depends on your prior,' and terminated in NEEDS_EVIDENCE — even though the promp..."
m006-POS-01,Bayesian Updating,POS,4.9,4.4,human,"AI produced every exact number (36/59, 10/33, joint-verification) and the correct split-policy conclusion, but stopped at the computed values..."
m007-NEG-01,Expected Value Thinking,NEG,2.9,4.9,ai,"Pure EV-max recommended taking the one-shot bet (naive EV $1.1M > $1.0M), stopping at the mean: it ignored the $0.8M payment floor, the absorbing ruin state (45% chance of liquidation destroying the $5.0M continuation stream), and..."
m007-POS-01,Expected Value Thinking,POS,4.8,4.8,tie,"On a fully specified EV problem both reached the exact answer (Machine B, $405k) with identical state-by-state arithmetic and the same sensitivity results (subcontract breakeven m* = $1.60/unit, probability breakeven h* = 3/44)...."
m008-NEG-01,Probabilistic Forecasting (Superforecasting),NEG,2.9,4.4,ai,The pure style applied probability machinery to a category-new one-off with 2 data points and produced precision theater...
m008-POS-01,Probabilistic Forecasting (Superforecasting),POS,4.9,4.4,human,"AI computed the same posterior (0.87, resolved YES) but took the outside view as a post-hoc sanity check instead of leading with the reference class, framed the deliverable as a band around a point prediction rather than a scoreab..."
m009-NEG-01,Base Rate Neglect Avoidance,NEG,2.0,5.0,ai,"The style-pure baseline anchored on the flag's 2% base rate, classified the 693/700 forged-document cohort as 'vendor-collected anecdote with unknown selection effects,' adjusted only to 5–8%, and ordered the wire released — a ≈99..."
m009-POS-01,Base Rate Neglect Avoidance,POS,5.0,4.0,human,"AI computed the exact correct posterior (8/65 ≈ 12.3%) and rejected the VP anecdote, but only as a double-counting argument..."
m010-NEG-01,Calibration & Confidence Intervals,NEG,3.9,4.9,ai,"Pure calibration produced an honest but inert 90%+ interval ([$270K, $450K]; E[cost] $324K) and, facing a take-it-or-leave-it 24 h deadline, declined to commit ('no defensible number..."
m010-POS-01,Calibration & Confidence Intervals,POS,4.7,3.0,human,"AI quoted 90% intervals using the standard error of the mean (tomorrow 91 ± 1.645×12/√9 = [84.4, 97.6]; week [692.7, 713.3]) instead of prediction intervals with observation-level noise..."
m011-NEG-01,Systems Thinking,NEG,3.1,4.7,ai,"Pure Systems Thinking built a complete loop diagram from the single aggregate series (complaints 120 → 240/day) and prescribed speed targets + 15% capacity, reinterpreting the contradictory local measurements — unchanged GPS media..."
m011-POS-01,Systems Thinking,POS,4.6,3.7,human,"AI computed the equilibria correctly (catch 1,200 t/yr at E 10,000 → 800 t/yr at E 20,000; linear prediction 2,400 refuted) and rejected the expansion, but stopped at the steady state..."
m012-NEG-01,Causal Reasoning (Pearl-style),NEG,3.3,4.7,ai,"The pure causal baseline's identification analysis was correct (causal effect of coupons not identifiable: back-door blocked by unmeasured U, no front-door path, no instrument) but it committed the style's failure mode..."
m012-POS-01,Causal Reasoning (Pearl-style),POS,4.8,4.4,human,"Both computed the back-door adjustment correctly (P(P|do(B=1))=0.37, P(P|do(B=0))=0.32, causal effect +0.05) and both rejected the mass rollout on economics (280 purchases = +$7,000 vs $14,000 annoyance cost)...."
m013-NEG-01,Root Cause Analysis (5 Whys + deeper),NEG,3.4,4.9,ai,"The pure-RCA baseline drilled to the deepest evidence-supported cause — the vendor's release process lacking a client-impact notification gate — and made changing that process the primary fix (contract-level renegotiation, 6–8 wee..."
m013-POS-01,Root Cause Analysis (5 Whys + deeper),POS,4.7,3.6,human,"The AI stopped one link short of the root: it correctly traced timeouts → slow 4.2 s join → missing order_items.order_id index → migration 0041 never applied, but then treated '0041 was never applied' as the root instead of asking..."
m014-NEG-01,Constraint Theory / Bottleneck Thinking,NEG,2.5,5.0,ai,"Pure bottleneck thinking presupposed the org-chart serial flow as fixed structure: it declared human adjudication the constraint (400 < 420), dismissed the idle 250/day automated engine as a 'side channel, not part of the flow,' a..."
m014-POS-01,Constraint Theory / Bottleneck Thinking,POS,5.0,4.5,human,"The AI matched every checkable number (min-capacity 80/hr before, 100/hr after A; B/C/D/E rejected) and named the same post-lift constraint tie (S2/S3 at 100/hr), but it reached the answer by enumerating and pricing all five progr..."
m015-NEG-01,Emergence & Complexity Awareness,NEG,2.9,4.9,ai,"Facing a deterministic 100% checkout failure 13 minutes after a deploy, the pure emergence baseline classified it as 'possibly emergent — 100% can be the tip of an interaction' and spent 25 minutes probing (dashboards, DB pool met..."
m015-POS-01,Emergence & Complexity Awareness,POS,4.7,2.9,human,"For a clock-aligned latency spike in a cache-backed 3-tier system with all components individually healthy, the AI routed the case to complicated (decompose and rank components), delivered a 6-step diagnostic plan ranking DB lock..."
m016-NEG-01,Socratic Method / Question-Driven Inquiry,NEG,2.3,4.7,ai,"Pure Socratic style never committed: it questioned 'cause' (correlation is not causation), 'outage' (threshold undefined), 'recovery' (undefined), and the urgency itself — burning 10+ minutes at $8K/min while the dominant answer (..."
m016-POS-01,Socratic Method / Question-Driven Inquiry,POS,4.7,2.6,human,"AI accepted the operative definition as authoritative ('unprofitable = volume < 50/month') and applied the rule mechanically — cutting Product X (30 units, 45% margin, $1,350/month contribution) while keeping Product Y (300 units..."
m017-NEG-01,Dialectical Reasoning (Thesis → Antithesis → Synthesis),NEG,2.6,4.9,ai,"The dialectical baseline forced a synthesis — 'merge B's funnel into A's, share one back office, $600k each' — that papered over a non-convex threshold..."
m017-POS-01,Dialectical Reasoning (Thesis → Antithesis → Synthesis),POS,4.9,4.4,human,"Both reached the same design (trolley-battery on the 8 km ramp + 5 diesel trucks; $17.25M capex, ≈ 5 yr payback, −11,600 t CO2/yr), but the human derived it from an explicit conflict-axis analysis — the positions disagreed about W..."
m018-NEG-01,Steel-manning,NEG,3.0,4.7,ai,"On the payment-incident rollback decision (23% error spike from hotfix r42; SLA penalty clock trips at 10 minutes of >15% errors), the pure steel-manning style rebuilt the deploy author's 'don't roll back' objection into a respect..."
m018-POS-01,Steel-manning,POS,4.6,3.7,human,"On the rewrite proposal (16 dev-months Go rewrite vs incremental modernization), AI and human reached the same decision (reject rewrite, 6-week ETL-first modernization), but the AI never engaged the losing alternative at its stron..."
m019-NEG-01,Red Teaming / Devil's Advocate,NEG,3.0,4.9,ai,"The human red team blocked a sound, reversible, urgent MFA rollout (EHR access with 41 shared passwords, 3 leaked credentials, and an active brute-force attempt last month) on unranked hypotheticals — key loss, auth-server outage..."
m019-POS-01,Red Teaming / Devil's Advocate,POS,4.8,3.6,human,"AI found 3 of 5 planted flaws (bonus gaming, open-gated-survey selection bias, premature newsletter publication) and approved the plan with conditions — but missed the two fatal ones sitting in plain text..."
m020-NEG-01,Pre-Mortem Analysis,NEG,2.0,5.0,ai,"Strict pre-mortem manufactured a 15-item unranked catastrophe list (venue fire, wifi, food poisoning, hurricanes) for a plan with an 11-run success streak, runbook, and insurance — the mitigations either duplicated what already ex..."
m020-POS-01,Pre-Mortem Analysis,POS,5.0,4.0,human,"The AI independently reached the same conditional-commitment structure (backup CM qualification, buffer stock, T+6/T+10 gates) but found the buried killer risk (TianTech capacity-first clause + single congested lane + zero buffer)..."
m021-NEG-01,OODA Loop,NEG,2.0,5.0,ai,Strict OODA pattern-matched 'temperature anomaly → recall risk → shut down now' and cycled at the tempo of a noisy alarm system in an environment that was never fast or adversarial...
m021-POS-01,OODA Loop,POS,5.0,4.0,human,"In a 45-minute adversarial incident, the AI reached the same containment plan (cut egress, rotate the phished credential, force re-auth, verify backups, bounded correlation check on the payment backlog) but spent a full WHY verifi..."
m022-NEG-01,Decision Trees & Scenario Planning,NEG,5.0,4.0,human,"Both ended on market C, but the AI selected A in HOW ('$24.7M, robust') and reversed to C only at REVIEW: its sensitivity was one-dimensional (crisis probability 0.2 -> 0.35 leaves A leading at $18.9M) and it missed that the pivot..."
m022-POS-01,Decision Trees & Scenario Planning,POS,5.0,4.0,human,"Both concluded 'continue Phase 3', but the AI stubbed the trial-failure branch as abandonment: the rescue option (cost $15M, fix p=0.25 -> failure-node value $27.5M) sat in the comparables data it had already read, so its root EV..."
m023-NEG-01,Opportunity Cost Thinking,NEG,2.0,5.0,ai,Strict application of the style froze the action: exhaustive forgone-alternative enumeration of three near-tie offers with no stop condition produced a re-pricing loop (each pass flipped the ranking by less than its own error band...
m023-POS-01,Opportunity Cost Thinking,POS,5.0,4.0,human,"Both reached 'B with Elena' with identical checkable EV math (A +$620K, B +$2.12M, contractor-B +$720K), but the human's frame made the comparison constitutive — 'every choice forgoes what Elena would produce..."
m024-NEG-01,Regret Minimization Framework,NEG,2.0,5.0,ai,"Strict regret minimization amplified the hindsight anchor: the 80-year-old test ratified a $376 purchase after a 47x run as 'a second chance,' converting a vivid 2013 miss into an argument for an all-in $53K position (incl...."
m024-POS-01,Regret Minimization Framework,POS,5.0,4.0,human,"Both sides reached the same leap-with-bounded-commitment, but the human's 80-year-old projection was the spine: performed concretely and argued from Elena's own documents (8 years of letters, mentor testimony, marketability test)..."
m025-NEG-01,Real Options Thinking,NEG,2.0,5.0,ai,"Strict real-options staged anyway: it computed the pilot's isolated option value (+$20M) correctly, then priced the cost of exercising the option — the 12-month wait that forfeits the Vesta contract to GridCore ($50M erosion) — at..."
m025-POS-01,Real Options Thinking,POS,5.0,4.0,human,"Both sides reached the same staged-pilot decision with the same EV math (all-in +10, staged +40) and numeric kill thresholds, but the AI priced the stage only implicitly..."
m026-NEG-01,Analogical Reasoning / Pattern Transfer,NEG,2.6,4.6,ai,On the 'Project Hive' architecture decision (stigmergy proposal citing bee colonies; Pilot A: 40% scheduling-latency win on placement; extended pilot: 11% inconsistent order confirmations from contradictory local decisions...
m026-POS-01,Analogical Reasoning / Pattern Transfer,POS,4.6,3.4,human,"On the orchard frost-protection decision (need +2.0 °C above a -2 °C blossom threshold for 6 h; each fan plume +0.7 °C, rises additive at >=3 overlapping plumes; in-domain options all below threshold..."
m027-NEG-01,Design Thinking,NEG,2.0,5.0,ai,"Strict design thinking ran a genuine, full-cycle engagement (empathy → journey maps → clickable app + lobby prototypes) whose testing showed 10/12 residents loving the app and 'feeling in control' — and zero movement in the wait a..."
m027-POS-01,Design Thinking,POS,5.0,4.0,human,"The AI independently identified the real need (dose-state verification and refill-week reconciliation, overriding the survey's stated 'bigger print, louder alarm' need) by reading the observation data as evidence in WHY — a strong..."
m028-NEG-01,Lateral Thinking,NEG,2.0,5.0,ai,"Pure lateral applied its machinery to the wrong kind of frame: the strict human baseline generated six provocative breaks (cable-hang the slabs, cantilever the 2nd floor, punch skylight rows, relocate loads to the facade) and sele..."
m028-POS-01,Lateral Thinking,POS,5.0,4.0,human,"The AI accepted the brief's frame unexamined — 'reduce actual wait time, so invest in elevator hardware' — and produced a competent hedged package (scheduling + lobby items + parallel $150K modernization study + 8-week gate) while..."
m029-NEG-01,Combinatorial Creativity,NEG,3.0,5.0,ai,"Strict combinatorial style generated 18 recombinations of the TMU element space, of which most were not on the causal path (alarm-channel upgrades, desiccant, weekly calibration, dual-sensor averaging, ML anomaly detection)..."
m029-POS-01,Combinatorial Creativity,POS,5.0,4.0,human,"The AI independently converged to the same working design (2×54W headlight heaters, thermostat 37°C + independent 39.5°C cutoff, 100Ah battery, ≈$220) and correctly rejected solar-only on energy math — but reached it by opportunis..."
m030-NEG-01,Constraint-Driven Creativity,NEG,2.7,4.7,ai,"The pure style treated the 'zero third-party dependencies' rule as gospel: it produced a beautiful 5,000-LOC stdlib-only stack, even compressed the schedule to 3.5 months to fit the deadline, and explicitly refused to question the..."
m030-POS-01,Constraint-Driven Creativity,POS,4.6,4.4,human,"Both solved the straw-bridge puzzle with the same physics (Euler ~45 g, deck fails ~40-80 g, triangulated truss with bundled chords, ~2x margin), but the human won on the style's home ground..."
m031-NEG-01,Scientific Method (Hypothesis → Experiment → Update),NEG,2.3,4.9,ai,"The pure style failed on both of its registered weaknesses simultaneously. Tempo: it insisted on a 15–20-minute discriminating APM experiment before any action under a ~$40k/hr burn (≈$13k per test), even declaring NEEDS_EVIDENCE..."
m031-POS-01,Scientific Method (Hypothesis → Experiment → Update),POS,4.6,4.4,human,"Both sides identified the same root cause (a 14:00 reconciliation job, queue-delayed to 14:02, holding row locks on the orders table; the ~3% of checkout requests touching those rows hit the 30 s timeout..."
m032-NEG-01,Falsificationism (Popper),NEG,2.9,4.9,ai,"The pure style was nihilistic exactly as its registry entry predicts: it demanded a single decisive falsifier for 'CO2 is the dominant cause of warming,' found that no one observation can be decisive in a noisy system, discounted..."
m032-POS-01,Falsificationism (Popper),POS,4.6,4.4,human,"Both rejected the AuraSync pilot as pitched, demanded a reformulated risky claim, and killed the 7.83 Hz physics (~8 orders of magnitude below thermal noise) — the AI reached the identical verdict by running its full pipeline...."
m033-NEG-01,Controlled Experiment Design,NEG,2.7,4.7,ai,"The pure style answered 'what would the perfect experiment be?' instead of 'what can be known now?': it produced a fully powered reverse-rollback design (10% of users reverted to the old checkout, n ≈ 41,200/arm, blinded, pre-regi..."
m033-POS-01,Controlled Experiment Design,POS,4.6,4.0,human,"Both produced a valid randomized A/B for the onboarding-video decision (50/50 stratified assignment, concurrent text-sequence control, blinding, ITT, n ≈ 8,400/arm day-30 / ≈ 5,300/arm day-14)...."
m034-NEG-01,Measurement & Operationalization,NEG,2.6,4.8,ai,"The pure-style human defined the construct AS the contractual metric ('the construct for decision purposes is the claims-based rate'), verified the drop at ~5.5 standard errors, and recommended RENEW — the canonical measures-the-m..."
m034-POS-01,Measurement & Operationalization,POS,4.6,4.5,human,"Both reached the same verdict (do NOT ship B; template-clone leakage inverts naive +3 pp to corrected −10.2 pp: A 26.4% vs B 16.2%) with the same arithmetic, but the human performed the instrument audit as its default first act..."
m035-NEG-01,Replication & Robustness Checks,NEG,2.3,4.9,ai,"The pure style's reflex is variance-side — when the single null (+0.2 pp, n.s., n=20,000) looked untrustworthy, it enumerated samples, settings, methods, definitions, and windows and pre-registered a 12-week, $40k second-vendor re..."
m035-POS-01,Replication & Robustness Checks,POS,4.7,4.0,human,"Both refused to ship on the single aggregate A/B result (+12.4%, p=0.003), but the AI stopped at instability while the human stopped at the artifact. The AI's battery was sample-side and time-side (segment split..."
m036-NEG-01,Mental Models Latticework (Munger),NEG,2.0,5.0,ai,"The strict latticework enumerated seven models with equal weight and produced a multi-front defense plan (match RapidPack's price, loyalty discount, relationship investment, options-preservation) for an account whose buyer had sta..."
m036-POS-01,Mental Models Latticework (Munger),POS,5.0,4.0,human,"The AI independently reached grandfathering of the Legacy block, the GPU capacity gate, and retention-weighted comp (a strong result), but its two non-obvious binding moves — the selective cull of low-fitness accounts (no discount..."
m037-NEG-01,Circle of Competence Awareness,NEG,3.4,4.9,ai,The pure circle-of-competence baseline collapsed two different propositions — 'I cannot personally execute ML modeling' and 'I cannot lead a team whose ML work is delegated to a named competent authority' — and declined the GM man...
m037-POS-01,Circle of Competence Awareness,POS,4.8,3.1,human,"AI committed the full $1.5M to the oncology biotech round because it could read the deck: it adopted the pitch's unvalidated 33–67% phase-2→approval rate as the EV hinge (2.58× per $1M), confirmed the financials were internally co..."
m038-NEG-01,Margin of Safety,NEG,2.7,4.7,ai,"The pure style demanded a blanket 2x contingency ($1.04M cost basis) and 2x schedule (≈ 24 weeks), found both exceeded the contract's own bounds ($900k ceiling, 14-week window), and declined to bid — forgoing ≈ $165k profit, a ≈ $..."
m038-POS-01,Margin of Safety,POS,4.7,4.4,human,Both derived the error-structure margin multiplicatively (40 x 1.6 surge x 1.3 dynamic x 1.1 material ≈ 91-92 kN/m²). The human's decisive move was cushioning the binding uncertainty itself...
m039-NEG-01,Asymmetric Upside / Barbell Strategy,NEG,2.0,5.0,ai,"The style-pure baseline rejected a +6.14%-EV, zero-ruin, positively skewed bond ladder as 'the forbidden middle' and built a forced barbell with −3.7% EV, treating a −50%-EV tail slot with a mandatory $200k follow-on as 'capped op..."
m039-POS-01,Asymmetric Upside / Barbell Strategy,POS,5.0,4.0,human,"AI computed the correct EVs (M 57,120 vs B 117,400), worst cases and ruin probabilities and selected the barbell, but treated the two load-bearing preconditions as assumptions rather than verifications..."
m040-NEG-01,Leverage Points Identification,NEG,2.6,4.7,ai,"The pure style misidentified leverage (its registry weakness). It pre-committed to structural levers: framed the funnel drop as surface behavior of the growth-org incentive system, ranked a $500k/6-month goals/KPI transformation p..."
m040-POS-01,Leverage Points Identification,POS,4.6,4.4,human,Both sides converged on the same verdict (2-week incident→change-class feedback pipeline + canary rule for the 5 recurring classes; defer the 25 hires...
m041-NEG-01,Hierarchical Decomposition,NEG,3.0,5.0,ai,"The human style partitioned four simultaneous service alerts into four sub-problems and spent 38 minutes on internally consistent per-service checks that could not converge, because the cross-cutting cause (a 01:50 shared-config c..."
m041-POS-01,Hierarchical Decomposition,POS,5.0,4.0,human,"The AI produced a complete, feasible 5-stream conference plan and matched the dependency machinery, but its level-1 outline was logistics-heavy and reached on-site safety/emergency/accessibility only via a second coverage sweep, i..."
m042-NEG-01,Abstraction Laddering,NEG,2.3,4.9,ai,"The pure style fell into the registry's own weakness — ladder drift, lost concreteness. At 02:14 with 'connection pool exhausted' in the logs and the config diff (max_connections 50 → 5) on the table, it climbed..."
m042-POS-01,Abstraction Laddering,POS,4.7,4.4,human,"Both sides converged on the correct reframe and plan (renewal drop is a habit problem, not a renewal-mechanics problem: instrument week-1 activation, fix onboarding, re-engage at >40% usage decay at T−45..."
m043-NEG-01,Temporal Thinking (Short vs Long Term),NEG,2.3,4.9,ai,"The pure style rationalized present harm exactly as its registry entry predicts: it anchored on the 10-year horizon first (800 jobs, plant survival), declared the near-term costs 'the price of the future,' computed the $4.5M/yr ex..."
m043-POS-01,Temporal Thinking (Short vs Long Term),POS,4.7,4.3,human,"The AI reached the correct decision (L + bridging adjunct) and matched every outcome number, but horizon separation arrived as a verification device rather than a first-class structure..."
m044-NEG-01,Multi-Perspective Taking (Stakeholder Analysis),NEG,2.3,5.0,ai,"The pure style hit its three registered failure modes simultaneously: stakeholder inflation (the inventory grew to 120 households, regulators, town businesses, future customers — none with a decision-relevant lever), paralysis by..."
m044-POS-01,Multi-Perspective Taking (Stakeholder Analysis),POS,4.7,4.3,human,"Both sides converged on the same ARR-protecting plan (fix sales comp and reseller margin first, repair the 2 burned accounts, migrate in waves sequenced by renewal risk, support surge per wave, target ≥ 95% ARR retention on the $9..."
m045-NEG-01,Ethical Reasoning Frameworks,NEG,3.0,4.6,ai,"The pure-framework baseline was decision-impotent and became the smokescreen it was commissioned to produce: it applied all three lenses earnestly, demonstrated (unwittingly) that each can justify either candidate, declared the ch..."
m045-POS-01,Ethical Reasoning Frameworks,POS,4.7,4.0,human,"The AI reached the same decision (disclose + hold) as the human and found the regulator trap, but it processed obligations as constraints inside a consequentialist frame..."
m046-NEG-01,First Principles in Software Architecture,NEG,2.6,4.9,ai,"The pure style approved a derived S3-log ledger (append-only log + in-memory balance cache + idempotency keys + hourly reconciliation) as the system of record for money movement, dismissing the SQL double-entry transactional ledge..."
m046-POS-01,First Principles in Software Architecture,POS,4.6,4.4,human,"Both sides selected the same constraint-derived design (monolith + Postgres with batched upserts for locations, transactions on assignment state, in-memory write-through cache for the dispatcher..."
m047-NEG-01,Bayesian Updating in Medical Diagnosis,NEG,4.9,3.9,human,"AI audited the prior's reference class correctly (anchored annual incidence 0.3%, rejected lifetime risk 40%) and computed PPV = 54/1051 ≈ 5.1% exactly — then stopped...."
m047-POS-01,Bayesian Updating in Medical Diagnosis,POS,4.9,4.0,human,"AI produced every exact number (87/2276 ≈ 3.8%, LR+ ranking 13.7 vs 4.9, 3567/10134 ≈ 35.2%), verified order-invariance by recomputation, and correctly selected ultrasound over MRI. But it stopped at the positive branch..."
m048-NEG-01,Systems Thinking in Supply Chain,NEG,2.0,4.6,ai,"The pure style over-modeled (its registry weakness). It mapped the store->DC->supplier chain, requested 12 weeks of POS data, built and simulated an order-up-to model, and proposed a 3-4 week safety-stock/reorder-optimization/S&OP..."
m048-POS-01,Systems Thinking in Supply Chain,POS,5.0,4.0,human,Both sides converged on the same verdict (reject the $2M flexible-production CAPEX; implement demand-information sharing + forecast smoothing p=4...
m049-NEG-01,First Principles in Business Strategy,NEG,3.0,4.7,ai,The pure style's elasticity derivation was arithmetically flawless and strategically wrong: from its own 2024 price test (elasticity −1.5) it computed +10% price -> −15% volume -> 850k x $50 = $42.5M (+6.25%) and recommended raisi...
m049-POS-01,First Principles in Business Strategy,POS,4.6,4.4,human,"Both sides derived the same strategy (retention-first: ≈ $400k months-1-3 engagement program, churn 20% -> 8%, then acquisition at CAC <= $120 with no promo..."
m050-NEG-01,Inversion in Product Design (Safety),NEG,3.0,4.8,ai,"The pure style validated its registry weakness (feature bloat from risk aversion): it enumerated 12 harm paths with equal weight, mitigated all 12 (BOM €22 → €43.5, +5 months, retail €79, margin ≈ 6%, launch inside the competitor'..."
m050-POS-01,Inversion in Product Design (Safety),POS,4.6,4.3,human,"Both sides converged on the same brief (severity-first spend, ≈ €144 of a €180 envelope anchored on thermal propagation, sealed exterior gas duct, interlocked bus, cell traceability..."
m051-NEG-01,Expected Value in Startup Portfolios (VC),NEG,2.9,4.9,ai,"Pure portfolio-EV recommended investing $10M (claimed EV $12.75M > $10M, '27.5% margin'), treating the asserted 2% $2B-exit probability as a measurement..."
m051-POS-01,Expected Value in Startup Portfolios (VC),POS,4.7,4.8,tie,"On a fully specified power-law portfolio problem both reached the identical decision (Strategy B, EV $215M vs $185M, +$30M) with the same full sensitivity set..."
m052-NEG-01,OODA in Competitive Markets,NEG,2.4,5.0,ai,"The pure style converted every competitor probe into a same-week reactive counter — 5 moves, 5 responses (20 bps margin given on all new signups, two engineering quarters on payroll parity, one on dev-portal parity, six months of..."
m052-POS-01,OODA in Competitive Markets,POS,4.1,4.3,human,"Both sides chose the same class of counter — targeted, time-boxed, reversible (90-day 15-20% renewal discount + onboarding credit for the top-60 at-risk accounts) — but the human decided in 72 hours at ~60% information, while the..."
m053-NEG-01,Root Cause Analysis in Incident Response,NEG,2.4,4.6,ai,The negative case validated the human model's registry weakness: strict pure RCA built the full timeline and three deep why-chains (descending into unfalsifiable org-culture territory...
m053-POS-01,Root Cause Analysis in Incident Response,POS,4.7,4.1,human,Both sides converged on the same mechanism and the same five-item prevention/detection set (config-class approval + canary; restore 1%/delta alert; payments rotation; duplicate-rate metric; drift check...
m054-NEG-01,Fermi Estimation in Market Sizing,NEG,3.0,4.8,ai,"The pure style validated its registry weakness: the dominant factor (penetration of AI sales copilots) had no published base rate, and the human faithfully converted a mid-guess of 10% into a crisp 'TAM ≈ $4.5B', then derived the..."
m054-POS-01,Fermi Estimation in Market Sizing,POS,4.6,4.4,human,"Both sides converged on the same defensible size-up (TAM ≈ $3.8B, SAM ≈ $1.8B, 1% ≈ $35-40M ARR; penetration anchored to the published 5-6% base rate with the UK/Sweden 30-40% ceiling as an upside bound..."
m055-NEG-01,Causal Reasoning in Economics,NEG,4.9,3.9,human,"Both sides ran the same identification audit (cross-section dead on selection, time series dead on no-counterfactual, RDD dead on manipulation, no IV) and both returned the causal status 'unidentified', but the AI then leaked the..."
