case,signature,top3,confident,gates
m001-NEG-01|d:engineering,finance,medical,software g:decide,diagnose,estimate,predict c:deadline,high_stakes|m001 m021 m044|no|m007
m001-POS-01|d:engineering,finance,medical g:decide,guarantee,maximize,predict c:deadline|m001 m020 m023|no|m003
m002-NEG-01|d:engineering,finance,medical,organization,product,security,software g:decide,diagnose,estimate,maximize,predict c:deadline,high_stakes|m021 m044 m018|no|m007
m002-POS-01|d:engineering,finance,medical,organization,product,science,strategy,supply g:estimate,guarantee,maximize c:adversarial|m002 m070 m011|no|m003 m019
m003-NEG-01|d:engineering,finance,medical,organization,product,software g:decide,guarantee,maximize c:|m018 m019 m033|no|m003
m003-POS-01|d:engineering,finance,medical,organization,product,security,software,strategy g:diagnose,guarantee,predict c:|m003 m044 m070|yes|m003
m004-NEG-01|d:engineering,finance,medical,organization,product,science,security g:diagnose,estimate,maximize c:|m015 m018 m019|no|
m004-POS-01|d:engineering,finance,medical,science,security,strategy,supply g:decide,estimate,guarantee,maximize c:deadline|m004 m070 m055|yes|m003
m005-NEG-01|d:engineering,medical g:estimate c:|m001 m002 m004|no|
m005-POS-01|d:engineering,finance,medical g:estimate c:deadline,high_stakes|m001 m005 m017|no|m007
m006-NEG-01|d:engineering,finance,medical,science,strategy g:decide,diagnose,predict c:|m011 m024 m028|no|
m006-POS-01|d:engineering,medical,organization,product,science g:guarantee,predict c:|m018 m019 m070|no|m003
m007-NEG-01|d:engineering,finance,medical,software g:estimate,maximize,predict c:high_stakes,one_shot|m001 m018 m019|no|m007
m007-POS-01|d:engineering,finance,medical,organization,security g:decide,estimate,guarantee,maximize,predict c:adversarial|m019 m023 m070|no|m003 m019
m008-NEG-01|d:engineering,finance,medical,product,software,strategy,supply g:decide,estimate,maximize,predict c:adversarial,unmeasured|m044 m070 m011|no|m006 m019
m008-POS-01|d:engineering,finance,medical,software,strategy g:estimate,maximize,predict c:|m008 m044 m058|no|
m009-NEG-01|d:finance,medical,product,security,software g:decide,predict c:adversarial|m019 m044 m070|no|m019
m009-POS-01|d:engineering,finance,medical,science,strategy g:estimate,guarantee,predict c:unmeasured|m009 m019 m070|yes|m003 m006
m010-NEG-01|d:engineering,finance,medical,organization,software,strategy,supply g:decide,estimate,guarantee,maximize,predict c:adversarial,deadline,high_stakes,one_shot|m044 m063 m064|no|m003 m007 m019
m010-POS-01|d:engineering,finance,medical,science,supply g:diagnose,guarantee,predict c:|m010 m030 m031|no|m003
